# Server version 0.08 running on jake-t420:8123
# Game ID: 118
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 1000
# First Move Timeout: 30000
# Date: Fri Apr 07 23:36:37 EDT 2017
# Player 1: Player-0, 'RandomPlayer', running on localhost
# Player 2: Player-1, '260566105', running on localhost
START Player-0 RandomPlayer
START Player-1 260566105
PIT 1 1
PIT 0 0
PIT 1 0
PIT 1 2
PIT 0 2
PIT 1 4
PIT 0 1
PIT 1 3
PIT 0 0
PIT 0 5
PIT 1 0
PIT 1 4
PIT 0 2
PIT 1 5
PIT 0 2
PIT 1 2
PIT 0 4
PIT 1 5
PIT 0 4
PIT 1 4
PIT 0 5
PIT 1 0
PIT 0 3
PIT 1 2
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 2
PIT 0 5
PIT 1 2
PIT 0 4
PIT 1 0
PIT 0 5
PIT 1 0
GAMEOVER WINNER 1         Player-0 score: 6  Player-1 score: 66
# Game ended: Fri Apr 07 23:36:41 EDT 2017
