# Server version 0.08 running on jake-t420:8123
# Game ID: 356
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 10000
# First Move Timeout: 30000
# Date: Sat Apr 08 22:18:41 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on localhost
# Player 2: Player-1, '260566105', running on localhost
START Player-0 GreedyPlayer
START Player-1 260566105
PIT 0 0
PIT 1 0
PIT 0 5
PIT 1 4
PIT 0 4
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 3
PIT 1 0
PIT 0 4
PIT 1 3
PIT 0 2
PIT 1 3
PIT 0 3
PIT 1 0
PIT 0 4
PIT 1 0
PIT 0 5
PIT 1 0
PIT 1 1
GAMEOVER WINNER 1         Player-0 score: 20  Player-1 score: 52
# Game ended: Sat Apr 08 22:18:46 EDT 2017
